time,ts_iso,ax,ay,az,wx,wy,wz,roll,pitch,yaw,acc_mag,gyro_mag,baseline_acc,vib,envelope,threshold,enhanced,is_above,is_peak_confirmed
1783053544.9005623,2026-07-03T13:39:04.900,-0.00634765625,0.01025390625,1.04248046875,-0.06103515625,0.06103515625,0.0,0.46142578125,0.3955078125,31.640625,1.0425502208807362,0.08631674575031098,1.0435566477513523,0.0010064268706160284,0.0007510605180330971,0.02,0.0007510605180330971,0,0
1783053544.9005623,2026-07-03T13:39:04.900,-0.00634765625,0.01220703125,1.044921875,-0.1220703125,0.0,0.0,0.46142578125,0.3955078125,31.6241455078125,1.0450124540910133,0.1220703125,1.0435566477513523,0.0014558063396610255,0.0008920096823586828,0.02,0.0008920096823586828,0,0
1783053544.9205585,2026-07-03T13:39:04.920,-0.00634765625,0.01220703125,1.044921875,0.0,0.0,0.0,0.46142578125,0.3955078125,31.607666015625,1.0450124540910133,0.0,1.0435562479334084,0.001456206157604889,0.0010048489774079242,0.02,0.0010048489774079242,0,0
1783053544.9205585,2026-07-03T13:39:04.920,-0.00927734375,0.0126953125,1.041015625,0.06103515625,-0.1220703125,0.0,0.46142578125,0.3955078125,31.5966796875,1.0411343676781921,0.13647875839232115,1.0435566477513523,0.0024222800731601435,0.0012883351965583682,0.02,0.0012883351965583682,0,0
1783053544.9205585,2026-07-03T13:39:04.920,-0.005859375,0.01025390625,1.044921875,0.0,0.0,0.0,0.46142578125,0.3955078125,31.5802001953125,1.0449886122452674,0.0,1.0435562479334084,0.0014323643118590024,0.0013171410196184952,0.02,0.0013171410196184952,0,0
1783053544.9205585,2026-07-03T13:39:04.920,-0.00732421875,0.01318359375,1.044921875,0.0,-0.1220703125,0.0,0.46142578125,0.3955078125,31.563720703125,1.0450307058541288,0.1220703125,1.0435566477513523,0.0014740581027765653,0.0013485244362501094,0.02,0.0013485244362501094,0,0
1783053544.9205585,2026-07-03T13:39:04.920,-0.0068359375,0.01025390625,1.04296875,-0.06103515625,0.0,0.0,0.46142578125,0.3955078125,31.552734375,1.0430415553138093,0.06103515625,1.0435566477513523,0.0005150924375429966,0.0011818380365086869,0.02,0.0011818380365086869,0,0
1783053544.9205585,2026-07-03T13:39:04.920,-0.0078125,0.01025390625,1.0439453125,0.0,-0.06103515625,0.0,0.46142578125,0.3955078125,31.5362548828125,1.0440249006802262,0.06103515625,1.0435566477513523,0.00046825292887398007,0.0010391210149817455,0.02,0.0010391210149817455,0,0
1783053544.9205585,2026-07-03T13:39:04.920,-0.00537109375,0.0087890625,1.0439453125,-0.1220703125,0.0,0.0,0.46142578125,0.3955078125,31.519775390625,1.0439961263138973,0.1220703125,1.0435566477513523,0.0004394785625450037,0.0009191925244943972,0.02,0.0009191925244943972,0,0
1783053544.9205585,2026-07-03T13:39:04.920,-0.00634765625,0.01025390625,1.04345703125,-0.06103515625,0.0,0.0,0.46142578125,0.3955078125,31.5087890625,1.0435267181046757,0.06103515625,1.0435566477513523,2.9929646676585264e-05,0.0007413399489308349,0.02,0.0007413399489308349,0,0
